Location,Population
"Chaffee County, CO","20,780"
"South Holland village, IL","20,775"
"Sullivan County, IN","20,768"
"Kewaunee County, WI","20,751"
"Carroll County, IN","20,747"
"New Hope city, MN","20,745"
"Morristown town, NJ","20,732"
"Murrysville municipality, PA","20,729"
"Portland city, TX","20,725"
"Oakland charter township, MI","20,719"
"Baldwin borough, PA","20,712"
"Jefferson township, NJ","20,705"
"Forest Lake city, MN","20,700"
"Dolton village, IL","20,697"
"Alamo city, TX","20,694"
"Lamar County, GA","20,690"
"Lynbrook village, NY","20,684"
"Greene County, NC","20,671"
"Pierce County, GA","20,669"
"Pike County, GA","20,669"
"Westminster city, MD","20,662"
"Painesville city, OH","20,660"
"Rolla city, MO","20,660"
"Auburndale city, FL","20,659"
"Mebane city, NC","20,654"
"Berlin town, CT","20,646"
"Freestone County, TX","20,645"
"Libertyville village, IL","20,643"
"Hazlet township, NJ","20,641"
"Johnstown town, CO","20,639"
"Genoa township, MI","20,636"
"Winder city, GA","20,628"
"Whitpain township, PA","20,626"
"Upper St. Clair township, PA","20,621"
"Union Parish, LA","20,617"
"Benton County, MO","20,614"
"Lavaca County, TX","20,605"
"Punta Gorda, FL","20,605"
"Claremore city, OK","20,602"
"South St. Paul city, MN","20,590"
"Coolbaugh township, PA","20,577"
"Marblehead town, MA","20,576"
"Sulphur city, LA","20,572"
"Tyler County, TX","20,560"
"Lockport town, NY","20,559"
"Pittsburg city, KS","20,547"
"Lower Southampton township, PA","20,525"
"Parma Heights city, OH","20,524"
"Palisades Park borough, NJ","20,520"
"Bourne town, MA","20,508"
"Sandwich town, MA","20,507"
"Napa County, CA","20,505"
"Boone County, WV","20,496"
"Barnwell County, SC","20,495"
"Crowley city, TX","20,483"
"Burleigh County, ND","20,475"
"Sherwood city, OR","20,441"
"Davison township, MI","20,439"
"Long County, GA","20,439"
"Painesville township, OH","20,434"
"Bethany city, OK","20,421"
"Fayetteville city, GA","20,419"
"Punta Gorda city, FL","20,416"
"Lockport city, NY","20,394"
"Sidney city, OH","20,392"
"Zachary city, LA","20,370"
"Fairfield County, SC","20,369"
"Hudson town, MA","20,364"
"Sparta township, NJ","20,362"
"Grafton town, MA","20,352"
"Ogden town, NY","20,348"
"Southbury town, CT","20,342"
"Gallup city, NM","20,339"
"Highland charter township, MI","20,337"
"Harrisburg town, NC","20,335"
"Sand Springs city, OK","20,330"
"Mitchell County, GA","20,329"
"Holden town, MA","20,326"
"Maple Shade township, NJ","20,322"
"Polk County, NC","20,320"
"Brigham City city, UT","20,319"
"Banks County, GA","20,318"
"Dixon city, CA","20,296"
"Phoenixville borough, PA","20,286"
"Genesee charter township, MI","20,284"
"Universal City city, TX","20,267"
"Worth County, GA","20,262"
"Adrian city, MI","20,259"
"Miamisburg city, OH","20,253"
"Cullman city, AL","20,239"
"Gilchrist County, FL","20,233"
"South Milwaukee city, WI","20,233"
"Comanche County, OK","20,230"
"Crest Hill city, IL","20,223"
"La Marque city, TX","20,194"
"Spencer County, IN","20,192"
"Burleson County, TX","20,179"
"Monroe city, MI","20,177"
"Cascade charter township, MI","20,172"
"Erlanger city, KY","20,172"
"Naples city, FL","20,168"
"Taylor County, WI","20,167"
"Whitemarsh township, PA","20,167"
"Elbert County, GA","20,152"
"Golden city, CO","20,151"
"Ypsilanti city, MI","20,150"
"Letcher County, KY","20,139"
"Yell County, AR","20,134"
"Holly Springs city, GA","20,133"
"Fentress County, TN","20,129"
"Seagoville city, TX","20,124"
"St. Marys city, GA","20,119"
"Port Angeles city, WA","20,112"
"Conyers city, GA","20,111"
"Ammon city, ID","20,095"
"Villa Rica city, GA","20,095"
"Boone town, NC","20,080"
"Siloam Springs city, AR","20,075"
"Assumption Parish, LA","20,050"
"El Reno city, OK","20,041"
"Forest Park city, OH","20,033"
"Vicksburg city, MS","20,032"
"Hawthorne borough, NJ","20,006"
"Fulton County, IN","20,004"
"Oconomowoc city, WI","20,002"
"Warrensburg city, MO","19,998"
"Hopkinton town, MA","19,971"
"Nogales city, AZ","19,965"
"Wyoming County, WV","19,964"
"Lake Zurich village, IL","19,960"
"Panama City Beach city, FL","19,955"
"Lebanon city, OR","19,950"
"Middle township, NJ","19,944"
"Tom Green County, TX","19,944"
"Whitehall city, OH","19,940"
"Etna township, OH","19,927"
"Monroe city, WA","19,927"
"Hart County, KY","19,923"
"Garfield charter township, MI","19,916"
"Mokena village, IL","19,915"
"Waterford town, CT","19,910"
"Cocoa city, FL","19,909"
"Los Lunas village, NM","19,907"
"Green Oak township, MI","19,904"
"Lexington city, NC","19,904"
"Newtown township, PA","19,898"
"Onalaska city, WI","19,898"
"Mayfield Heights city, OH","19,886"
"Flagler County, FL","19,877"
"Holmes County, FL","19,876"
"Marion County, KY","19,851"
"Pointe Coupee Parish, LA","19,845"
"Springfield city, TN","19,842"
"Lomita city, CA","19,841"
"Richmond Hill city, GA","19,839"
"Orange County, IN","19,824"
"Adair County, OK","19,821"
"Sheridan city, WY","19,813"
"Durango city, CO","19,811"
"Sudbury town, MA","19,805"
"Broadview Heights city, OH","19,792"
"Vernon County, MO","19,787"
"Mamaroneck village, NY","19,783"
"Harvey city, IL","19,781"
"Maitland city, FL","19,776"
"Uwchlan township, PA","19,772"
"Plattsburgh city, NY","19,758"
"Glenn Heights city, TX","19,752"
"Wayne County, MS","19,749"
"Hermiston city, OR","19,746"
"Brenham city, TX","19,728"
"OR city O, io","19,726"
"OR city, OH","19,726"
"Oroville city, CA","19,712"
"McIntosh County, OK","19,710"
"Windham town, ME","19,690"
"Los Alamos County, NM","19,675"
"Minneola city, FL","19,675"
"Coolidge city, AZ","19,674"
"Arvin city, CA","19,661"
"Grand Haven charter township, MI","19,647"
"Springboro city, OH","19,646"
"Richland Parish, LA","19,643"
"Lake Forest city, IL","19,642"
"Powder Springs city, GA","19,632"
"Dodge County, GA","19,630"
"Lackawanna city, NY","19,629"
"Wayne County, KY","19,629"
"La Ca?ada Flintridge city, CA","19,621"
"La Ca??a Flintridge city, CA","19,621"
"Mount Morris township, MI","19,619"
"Stroud township, PA","19,600"
"Scituate town, MA","19,598"
"Rockford township, IL","19,596"
"Calhoun city, GA","19,592"
"Clay County, KY","19,592"
"Palestine city, TX","19,583"
"Orinda city, CA","19,573"
"Stone County, MS","19,569"
"Stuart city, FL","19,566"
"Point Pleasant borough, NJ","19,565"
"Kent County, MD","19,557"
"Humphreys County, TN","19,554"
"Maumelle city, AR","19,541"
"Langlade County, WI","19,535"
"Harrison County, KY","19,525"
"Brighton township, MI","19,519"
"Kinston city, NC","19,519"
"Clive city, IA","19,508"
"Wright County, MO","19,505"
"Twinsburg city, OH","19,504"
"Madisonville city, KY","19,502"
"Hatfield township, PA","19,494"
"Hopkins city, MN","19,462"
"Norwood city, OH","19,455"
"Saluda County, SC","19,452"
"Albany city, CA","19,439"
"Tinton Falls borough, NJ","19,435"
"Milton town, NY","19,434"
"Polk County, AR","19,434"
"Saugerties town, NY","19,434"
"Ferndale city, MI","19,431"
"Agoura Hills city, CA","19,429"
"Plainview city, TX","19,429"
"Winchester city, KY","19,413"
"Firestone town, CO","19,396"
"Seminole city, FL","19,395"
"Bluffdale city, UT","19,393"
"Norton town, MA","19,392"
"Ashland town, MA","19,391"
"Stillwater city, MN","19,386"
"Lincoln County, WV","19,377"
"Aberdeen township, NJ","19,376"
"Grand Rapids charter township, MI","19,372"
"West Manchester township, PA","19,372"
"Red Oak city, TX","19,365"
"Fox Crossing village, WI","19,362"
"North Aurora village, IL","19,329"
"Graham city, NC","19,311"
"Manvel city, TX","19,309"
"Evergreen Park village, IL","19,301"
"Forest Park city, GA","19,301"
"Orange city, TX","19,275"
"Monroe town, CT","19,269"
"Wilton town, CT","19,255"
"Adair County, KY","19,239"
"Westmoreland County, VA","19,235"
"King William County, VA","19,232"
"Rutherford borough, NJ","19,214"
"Eloy city, AZ","19,199"
"Ansonia city, CT","19,195"
"Ansonia town, CT","19,195"
"Chowchilla city, CA","19,191"
"Liberal city, KS","19,184"
"Hertford County, NC","19,169"
"Augusta city, ME","19,168"
"Farmington city, MO","19,165"
"Newburyport city, MA","19,163"
"Lake St. Louis city, MO","19,160"
"Lansdale borough, PA","19,154"
"Deerfield village, IL","19,138"
"Central Point city, OR","19,128"
"Port Orchard city, WA","19,122"
"South El Monte city, CA","19,121"
"East Feliciana Parish, LA","19,112"
"St. James Parish, LA","19,110"
"Franklin Parish, LA","19,107"
"Avon town, CT","19,106"
"Sylvania city, OH","19,102"
"Fort Worth city, TX","19,083"
"Warren County, NC","19,081"
"Centralia city, WA","19,061"
"Monroe County, AL","19,057"
"Lakeway city, TX","19,056"
"Gautier city, MS","19,055"
"Downers Grove township, IL","19,051"
"Martinsburg city, WV","19,047"
"Heber city, UT","19,042"
"Youngsville city, LA","19,038"
"Wildwood city, FL","19,031"
"Elizabeth City city, NC","19,028"
"Bosque County, TX","19,013"
"East Lyme town, CT","19,004"
"Yancey County, NC","18,993"
"Pinecrest village, FL","18,981"
"Marshfield city, WI","18,973"
"Sycamore city, IL","18,968"
"Ocean Springs city, MS","18,954"
"Howland township, OH","18,937"
"Dover town, NJ","18,909"
"Norcross city, GA","18,902"
"West Mifflin borough, PA","18,902"
"Brookfield village, IL","18,885"
"Lumberton city, NC","18,882"
"Mount WA city Kentu, ky","18,863"
"Mount WA city, KY","18,863"
"McLean County, IL","18,839"
"Sawyer County, WI","18,835"
"Plumas County, CA","18,834"
"East Lampeter township, PA","18,830"
"Texas charter township, MI","18,825"
"West Richland city, WA","18,820"
"Brantley County, GA","18,795"
"Foxborough town, MA","18,791"
"Homewood village, IL","18,789"
"Stonington town, CT","18,782"
"Prichard city, AL","18,778"
"Ottawa city, IL","18,775"
"Brownwood city, TX","18,772"
"Ashland city, OH","18,770"
"Owego town, NY","18,767"
"Sharon town, MA","18,762"
"Paulding County, OH","18,755"
"Arcata city, CA","18,748"
"Winthrop Town city, MA","18,739"
"South Orange Village township, NJ","18,736"
"Mount Holly city, NC","18,723"
"Delran township, NJ","18,717"
"Hermosa Beach city, CA","18,687"
"Santa Fe Springs city, CA","18,683"
"WI Rapids city, WI","18,675"
"Colonial Heights city, VA","18,674"
"Appling County, GA","18,669"
"San Juan County, WA","18,668"
"Berrien County, GA","18,666"
"Pinole city, CA","18,663"
"Plymouth township, PA","18,663"
"Round Lake village, IL","18,654"
"Cumberland city, MD","18,643"
"Buford city, GA","18,642"
"Buchanan County, VA","18,632"
"Bensenville village, IL","18,629"
"Kalkaska County, MI","18,618"
"Clemson city, SC","18,610"
"Dumont borough, NJ","18,606"
"Thomasville city, GA","18,604"
"South Fayette township, PA","18,586"
"Wheatfield town, NY","18,578"
"Murray city, KY","18,567"
"Matteson village, IL","18,566"
"Tishomingo County, MS","18,553"
"Grant County, AR","18,546"
"Ste. Genevieve County, MO","18,546"
"Gorham town, ME","18,545"
"Altus city, OK","18,543"
"Hernando city, MS","18,542"
"Creve Coeur city, MO","18,533"
"Calera city, AL","18,530"
"Cohoes city, NY","18,530"
"Scio township, MI","18,522"
"Shorewood village, IL","18,522"
"Benzie County, MI","18,520"
"East Goshen township, PA","18,509"
"Pickens County, AL","18,508"
"Johnson County, TN","18,506"
"Pinehurst village, NC","18,502"
"Pataskala city, OH","18,493"
"Goffstown town, NH","18,488"
"Alsip village, IL","18,486"
"Inyo County, CA","18,485"
"Russell County, KY","18,458"
"Aberdeen city, MD","18,451"
"Lee County, TX","18,451"
"Concord township, PA","18,450"
"Pembroke town, MA","18,428"
"West Columbia city, SC","18,418"
"Copley township, OH","18,408"
"Santaquin city, UT","18,394"
"Somerset town, MA","18,375"
"Madison County, FL","18,364"
"Kaukauna city, WI","18,363"
"Moncks Corner town, SC","18,359"
"Southeast town, NY","18,340"
"Polk County, TN","18,338"
"Jefferson County, KS","18,332"
"Newton city, KS","18,320"
"Weirton city, WV","18,317"
"Park County, CO","18,316"
"Gainesville city, TX","18,295"
"Lenoir city, NC","18,280"
"Taylor County, TX","18,265"
"Mount Dora city, FL","18,261"
"Arroyo Grande city, CA","18,249"
"Niles city, OH","18,238"
"Upper Saucon township, PA","18,233"
"Sevierville city, TN","18,231"
"Craighead County, AR","18,210"
"Star city, ID","18,208"
"Lemont village, IL","18,203"
"Brookfield town, CT","18,186"
"Sunland Park city, NM","18,185"
"Hampton County, SC","18,172"
"Morton township, IL","18,172"
"Sebastian County, AR","18,171"
"Amsterdam city, NY","18,169"
"Logansport city, IN","18,168"
"Nederland city, TX","18,168"
"Albert Lea city, MN","18,159"
"Anacortes city, WA","18,148"
"Brook Park city, OH","18,142"
"Doylestown township, PA","18,141"
"Scott County, MN","18,136"
"Bellwood village, IL","18,132"
"New Port Richey city, FL","18,130"
"Manchester city, MO","18,122"
"Montour County, PA","18,115"
"Franklin Park village, IL","18,110"
"McAlester city, OK","18,108"
"Southbridge Town city, MA","18,106"
"Hope Mills town, NC","18,102"
"White Settlement city, TX","18,099"
"Towamencin township, PA","18,095"
"Killingly town, CT","18,093"
"Concord town, MA","18,092"
"Bourbonnais village, IL","18,083"
"New Castle town, NY","18,082"
"Anoka city, MN","18,068"
"Fairmont city, WV","18,063"
"Shelbyville city, KY","18,048"
"Ferguson city, MO","18,043"
"Garrard County, KY","18,040"
"Scarsdale town, NY","18,036"
"Scarsdale village, NY","18,036"
"Cary village, IL","18,031"
"Coronado city, CA","18,031"
"South Hadley town, MA","18,031"
"Steubenville city, OH","18,029"
"Canby city, OR","18,027"
"Palos Hills city, IL","18,026"
"Covington County, MS","18,015"
"Turtlecreek township, OH","18,015"
"Rancho Mirage city, CA","18,001"
"Bellingham town, MA","17,998"
"Berea city, OH","17,998"
"Aurora city, OH","17,985"
"Calumet township, IL","17,964"
"Hampton township, PA","17,960"
"Trenton city, MI","17,957"
"Washougal city, WA","17,944"
"Southampton County, VA","17,941"
"Frederick town, CO","17,937"
"Niceville city, FL","17,919"
"Montville town, CT","17,913"
"ID County, ID","17,912"
"Dallas city, OR","17,911"
"Dallas County, MO","17,877"
"Streetsboro city, OH","17,877"
"Weehawken township, NJ","17,877"
"Chester County, TN","17,876"
"Taylor city, TX","17,872"
"Madison County, AR","17,865"
"Takoma Park city, MD","17,856"
"Johnstown city, PA","17,853"
"Grovetown city, GA","17,843"
"Kirksville city, MO","17,841"
"Morganton city, NC","17,825"
"Webster town, MA","17,817"
"Avery County, NC","17,811"
"Muskegon charter township, MI","17,810"
"East St. Louis city, IL","17,808"
"East St. Louis township, IL","17,808"
"Colchester town, VT","17,807"
"St. Matthews city, KY","17,806"
"Jacksonville city, IL","17,801"
"Lake Wales city, FL","17,798"
"Morgan County, WV","17,780"
"Ashtabula city, OH","17,775"
"Blackberry township, IL","17,761"
"Plainville town, CT","17,757"
"South Ogden city, UT","17,749"
"Troy city, AL","17,734"
"Tiffin city, OH","17,729"
"Cinnaminson township, NJ","17,724"
"Rabun County, GA","17,711"
"Rockland town, MA","17,708"
"Cudahy city, WI","17,704"
"Madison town, CT","17,688"
"North Canton city, OH","17,677"
"Greenfield city, MA","17,633"
"Sequatchie County, TN","17,620"
"Amesbury city, MA","17,617"
"Stallings town, NC","17,617"
"Dixie County, FL","17,614"
"Godfrey village, IL","17,610"
"Lebanon city, IN","17,608"
"Milford charter township, MI","17,608"
"Hinsdale village, IL","17,598"
"Alice city, TX","17,595"
"Marion County, AR","17,593"
"Franklin County, AR","17,586"
"Danville city, KY","17,562"
"South Middleton township, PA","17,562"
"Morton village, IL","17,557"
"Vero Beach city, FL","17,556"
"Stafford city, TX","17,555"
"Swansea town, MA","17,537"
"Mercedes city, TX","17,535"
"Wilton town, NY","17,530"
"Malta town, NY","17,526"
"Clayton city, MO","17,512"
"Laurel city, MS","17,508"
"Kerman city, CA","17,497"
"Portsmouth city, OH","17,489"
"Holmdel township, NJ","17,488"
"Wixom city, MI","17,486"
"Bay City city, TX","17,471"
"Cortland city, NY","17,459"
"Bellaire city, TX","17,439"
"Ashwaubenon village, WI","17,437"
"Goodlettsville city, TN","17,433"
"Piscataquis County, ME","17,432"
"Gulf Shores city, AL","17,431"
"Eastlake city, OH","17,423"
"Winston County, MS","17,418"
"Muscle Shoals city, AL","17,409"
"Havelock city, NC","17,407"
"Upper Gwynedd township, PA","17,407"
"Millbrook city, AL","17,392"
"Portsmouth town, RI","17,391"
"Braselton town, GA","17,390"
"Tifton city, GA","17,385"
"New Castle city, IN","17,382"
"Easton town, MD","17,381"
"New Philadelphia city, OH","17,378"
"Denville township, NJ","17,376"
"Wyckoff township, NJ","17,366"
"Belle Glade city, FL","17,363"
"Bainbridge township, IN","17,361"
