Location,Population
"Albemarle County, VA","117,313"
"Menifee city, CA","117,041"
"Las Cruces city, NM","116,998"
"Clearwater city, FL","116,811"
"West Jordan city, UT","116,688"
"New Braunfels city, TX","116,477"
"St. Mary's County, MD","116,469"
"Manchester city, NH","116,386"
"Smithtown town, NY","116,228"
"Miami Gardens city, FL","116,173"
"Waterbury city, CT","115,908"
"Waterbury town, CT","115,908"
"Provo city, UT","115,479"
"Evansville city, IN","115,395"
"Richmond city, CA","115,353"
"Dallas County, IA","115,343"
"Hanover County, VA","115,309"
"Westminster city, CO","115,302"
"Elgin city, IL","114,701"
"Conroe city, TX","114,581"
"Greeley city, CO","114,363"
"Buckeye city, AZ","114,334"
"Tuscaloosa city, AL","114,288"
"Allen city, TX","113,746"
"Carlsbad city, CA","113,575"
"Everett city, WA","113,011"
"Springfield city, IL","112,949"
"Beaumont city, TX","112,893"
"Murrieta city, CA","112,539"
"Rio Rancho city, NM","112,524"
"Temecula city, CA","112,431"
"Concord city, NC","112,395"
"Tyler city, TX","112,219"
"Davie town, FL","112,052"
"South Fulton city, GA","112,003"
"Peoria city, IL","111,696"
"Sparks city, NV","111,520"
"Gresham city, OR","111,507"
"Santa Maria city, CA","111,346"
"Pueblo city, CO","111,166"
"Capital township, IL","111,140"
"Hillsboro city, OR","110,337"
"Edison township, NJ","110,002"
"Sugar Land city, TX","109,851"
"San Buenaventura (Ventura) city, CA","109,831"
"Downey city, CA","109,368"
"Costa Mesa city, CA","109,131"
"Niles township, IL","109,048"
"Centennial city, CO","108,853"
"Edinburg city, TX","108,733"
"Spokane Valley city, WA","108,267"
"Jurupa Valley city, CA","108,154"
"Bend city, OR","106,926"
"West Covina city, CA","106,920"
"Boulder city, CO","106,803"
"Fort Myers city, FL","99,918"
"Garland County, AR","99,902"
"Toms River township, NJ","99,873"
"Columbiana County, OH","99,823"
"Longmont city, CO","99,818"
"Canton charter township, MI","99,793"
"Madison County, KY","99,582"
"WA County Maryl, nd","99,580"
"Kenosha city, WI","99,578"
"Vista city, CA","99,322"
"Dubuque County, IA","99,242"
"Edmond city, OK","99,040"
"Montgomery County, VA","98,998"
"Benton County, OR","98,899"
"Tangipahoa Parish, LA","98,701"
"Douglas County, NE","98,560"
"Sutter County, CA","98,545"
"Matanuska-Susitna Borough, AK","98,443"
"Putnam County, NY","98,409"
"Lancaster County, SC","98,351"
"Beaverton city, OR","98,302"
"Norwalk city, CA","98,230"
"Frederick County, VA","98,109"
"Nash County, NC","97,990"
"St. Croix County, WI","97,954"
"Lebanon County, PA","97,927"
"Roanoke city, VA","97,912"
"Hanover township, IL","97,751"
"Lenawee County, MI","97,746"
"Northeastern CT Planning Region, CT","97,701"
"Lincoln County, NC","97,611"
"Rockdale County, GA","97,610"
"Lauderdale County, AL","97,502"
"Yakima city, WA","97,390"
"Adams County, CO","97,373"
"Roanoke County, VA","97,334"
"Lawrence city, KS","97,271"
"Boone County, KY","97,056"
"St. Clair County, AL","96,927"
"Ashtabula County, OH","96,906"
"Lane County, OR","96,711"
"Orem city, UT","96,646"
"Grand Traverse County, MI","96,625"
"San Marcos city, CA","96,620"
"Avondale city, AZ","96,609"
"Peoria City township, IL","96,579"
"Orland township, IL","96,553"
"Twin Falls County, ID","96,509"
"Portsmouth city, VA","96,482"
"Beaufort County, SC","96,331"
"Barrow County, GA","96,294"
"Temple city, TX","96,267"
"Cameron County, TX","96,199"
"Guilford County, NC","96,078"
"Merced city, CA","96,073"
"Christian County, MO","96,045"
"Reading city, PA","96,000"
"Bellingham city, WA","95,860"
"Comal County, TX","95,837"
"DuPage County, IL","95,787"
"Greene County, MO","95,751"
"Mount Pleasant town, SC","95,604"
"Kirkland city, WA","95,499"
"Leon County, FL","95,399"
"Geauga County, OH","95,362"
"O'Fallon city, MO","95,355"
"Lafourche Parish, LA","95,342"
"Greenville city, NC","95,138"
"Dorchester County, SC","95,122"
"Asheville city, NC","94,992"
"Fairbanks North Star Borough, AK","94,951"
"Calvert County, MD","94,913"
"Fall River city, MA","94,689"
"Greece town, NY","94,642"
"Macomb township, MI","94,302"
"Manteca city, CA","94,292"
"Indio city, CA","94,275"
"Passaic County, NJ","94,185"
"Yavapai County, AZ","94,041"
"Chino city, CA","94,010"
"Campbell County, KY","94,008"
"Ozaukee County, WI","93,956"
"Greenburgh town, NY","93,955"
"Hamilton township, NJ","93,911"
"Cape May County, NJ","93,875"
"St. Charles County, MO","93,858"
"Jackson County, GA","93,825"
"Norwalk city, CT","93,661"
"Norwalk town, CT","93,661"
"Pottawattamie County, IA","93,529"
"Rockingham County, NC","93,517"
"Redding city, CA","93,502"
"Lehi city, UT","93,446"
"Livonia city, MI","93,113"
"Merced County, CA","93,105"
"Grafton County, NH","93,045"
"Chatham County, GA","93,041"
"Hoover city, AL","93,013"
"Elk Grove township, IL","92,996"
"Rensselaer County, NY","92,959"
"Cumberland County, NC","92,951"
"Erie city, PA","92,940"
"Hemet city, CA","92,912"
"North Port city, FL","92,875"
"Sandy city, UT","92,840"
"Whatcom County, WA","92,707"
"Cullman County, AL","92,604"
"Ouachita Parish, LA","92,410"
"Roswell city, GA","92,227"
"Bay County, FL","92,141"
"Tuscarawas County, OH","92,048"
"Steuben County, NY","92,015"
"Bowie County, TX","91,992"
"Wheatland township, IL","91,967"
"Allegan County, MI","91,966"
"Champaign City township, IL","91,961"
"Champaign city, IL","91,961"
"Victoria County, TX","91,949"
"Nashua city, NH","91,851"
"Mission Viejo city, CA","91,601"
"Ventura County, CA","91,581"
"Bryan city, TX","91,541"
"Cabell County, WV","91,489"
"Carson city, CA","91,358"
"Calcasieu Parish, LA","91,267"
"Wagoner County, OK","91,257"
"Trenton city, NJ","91,193"
"Compton city, CA","91,129"
"Elmore County, AL","91,042"
"Bannock County, ID","91,010"
"South Gate city, CA","90,805"
"Wayne County, NY","90,757"
"Santa Monica city, CA","90,729"
"Newton city, MA","90,700"
"Medina County, OH","90,628"
"Fayette County, PA","90,556"
"Santa Fe city, NM","90,551"
"Polk County, OR","90,549"
"Deerfield Beach city, FL","90,507"
"Fort Smith city, AR","90,507"
"Leyden township, IL","90,471"
"Allen County, IN","90,416"
"Clifton city, NJ","90,322"
"Santa Clara County, CA","90,066"
"Beaver County, PA","90,048"
"Calumet township, IN","90,044"
"Lawton city, OK","90,027"
"Northumberland County, PA","90,027"
"Lucas County, OH","89,927"
"Randolph County, NC","89,900"
"Walton County, FL","89,666"
"Waukegan township, IL","89,643"
"Frederick city, MD","89,537"
"Westminster city, CA","89,537"
"Blount County, TN","89,527"
"Northfield township, IL","89,504"
"Springdale city, AR","89,368"
"Lawrence city, MA","89,332"
"Troy city, MI","89,209"
"Mendocino County, CA","89,175"
"Lapeer County, MI","89,168"
"Franklin city, TN","89,142"
